asset_variant	job_id	status	model	resolution	quality	aspect_ratio	raw_png	min_webp
D2-2	bd2893b1-70c5-48e0-a7fb-84bd7552324c	completed	gpt_image_2	2k	high	1:1	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_214649_bd2893b1-70c5-48e0-a7fb-84bd7552324c.png	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_214649_bd2893b1-70c5-48e0-a7fb-84bd7552324c_min.webp
D2-3	bdc24979-52e8-4cec-bc36-f3ab77ffe71f	completed	gpt_image_2	2k	high	1:1	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_214650_bdc24979-52e8-4cec-bc36-f3ab77ffe71f.png	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_214650_bdc24979-52e8-4cec-bc36-f3ab77ffe71f_min.webp
D3-1	e651694e-e3db-460c-94a5-a4cdc50bf2d2	completed	gpt_image_2	2k	high	1:1	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_214714_e651694e-e3db-460c-94a5-a4cdc50bf2d2.png	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_214714_e651694e-e3db-460c-94a5-a4cdc50bf2d2_min.webp
D3-2	c2735152-ac7a-4214-86b9-b00e59d3c081	completed	gpt_image_2	2k	high	1:1	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_214714_c2735152-ac7a-4214-86b9-b00e59d3c081.png	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_214714_c2735152-ac7a-4214-86b9-b00e59d3c081_min.webp
D3-3	7ed0d270-f92f-4f57-935e-b7ce6726a19a	completed	gpt_image_2	2k	high	1:1	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_214714_7ed0d270-f92f-4f57-935e-b7ce6726a19a.png	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_214714_7ed0d270-f92f-4f57-935e-b7ce6726a19a_min.webp
D4-1	56115f96-5f67-406e-a81b-e7fda5cc4044	completed	gpt_image_2	2k	high	1:1	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_215149_56115f96-5f67-406e-a81b-e7fda5cc4044.png	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_215149_56115f96-5f67-406e-a81b-e7fda5cc4044_min.webp
D4-2	7e35ec7e-e9d4-4e6c-a50f-3189a7a4b3fa	completed	gpt_image_2	2k	high	1:1	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_215149_7e35ec7e-e9d4-4e6c-a50f-3189a7a4b3fa.png	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_215149_7e35ec7e-e9d4-4e6c-a50f-3189a7a4b3fa_min.webp
D4-3	b6c0a0a5-bad4-4034-980b-e95044d5b173	completed	gpt_image_2	2k	high	1:1	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_215149_b6c0a0a5-bad4-4034-980b-e95044d5b173.png	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_215149_b6c0a0a5-bad4-4034-980b-e95044d5b173_min.webp
E1-1	b51d735d-11b6-4e68-9fac-0792d30a6692	completed	gpt_image_2	2k	high	3:4	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_215124_b51d735d-11b6-4e68-9fac-0792d30a6692.png	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_215124_b51d735d-11b6-4e68-9fac-0792d30a6692_min.webp
E1-2	3cb1e49e-ea9a-4fe3-8aba-cfeab2405cbd	completed	gpt_image_2	2k	high	3:4	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_215124_3cb1e49e-ea9a-4fe3-8aba-cfeab2405cbd.png	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_215124_3cb1e49e-ea9a-4fe3-8aba-cfeab2405cbd_min.webp
